npsn,nama_sekolah,status,kecamatan,kelurahan,alamat,jumlah_rombel,jumlah_guru,jumlah_laki_laki,jumlah_perempuan,total_peserta_didik
20219337,SMP NEGERI 1,Negeri,Cicendo,Arjuna,Jl. Ksatriaan No.12,31,48,522,572,1094
20219347,SMP NEGERI 2,Negeri,Sumur Bandung,Merdeka,Jl. Sumatera No.42,24,40,421,449,870
20219404,SMP NEGERI 3,Negeri,Regol,Pungkur,Jl. Rd. Dewi Sartika No. 96,22,38,390,410,800
20219416,SMP NEGERI 4,Negeri,Batununggal,Samoja,Jl. Samoja No. 5,20,35,355,365,720
20219379,SMP NEGERI 5,Negeri,Sumur Bandung,Merdeka,Jl. Sumatra No. 40,18,32,310,320,630
20219398,SMP NEGERI 6,Negeri,Andir,Kebon Jeruk,Jl. H. Yakub No. 36,14,25,230,240,470
20219397,SMP NEGERI 7,Negeri,Bandung Wetan,Citarum,Jl. Ambon No. 23,20,36,350,360,710
20219396,SMP NEGERI 8,Negeri,Ujungberung,Cigending,Jl. Alun-alun Utara No. 211B Ujungberung,18,30,315,325,640
20219394,SMP NEGERI 9,Negeri,Cicendo,Arjuna,Jl. Semar No. 5 Bandung,20,34,340,350,690
20219332,SMP NEGERI 10,Negeri,Regol,Pungkur,Jl. Rd. Dewi Sartika No.115,18,33,300,310,610
20219331,SMP NEGERI 11,Negeri,Regol,Ciateul,Jl. H. Samsudin No.34,16,28,270,280,550
20219330,SMP NEGERI 12,Negeri,Sukasari,Gegerkalong,Jl. Dr. Setiabudhi No. 195,20,36,345,355,700
20219339,SMP NEGERI 13,Negeri,Lengkong,Turangga,Jl. Mutiara No.15,18,31,305,315,620
20219340,SMP NEGERI 14,Negeri,Bandung Wetan,Cihapit,Jl. Lapangan Supratman No. 8,20,35,340,360,700
20219341,SMP NEGERI 15,Negeri,Sukasari,Gegerkalong,Jl. Setiabudi No. 89,22,38,375,385,760
20219351,SMP NEGERI 16,Negeri,Cibeunying Kaler,Neglasari,Jl. Phh. Mustopa 53,20,34,340,350,690
20219350,SMP NEGERI 17,Negeri,Arcamanik,Sukamiskin,Jl. Pacuan Kuda Arcamanik,18,30,305,315,620
20219349,SMP NEGERI 18,Negeri,Buahbatu,Margasari,Jl. SMP No 5-6 Terusan Kiaracondong,20,35,345,355,700
20219348,SMP NEGERI 19,Negeri,Coblong,Sekeloa,Jl. Sadang Luhur XI,18,32,305,315,620
20219344,SMP NEGERI 20,Negeri,Batununggal,Samoja,Jl. Centeh No. 5,16,28,275,285,560
20219343,SMP NEGERI 21,Negeri,Babakan Ciparay,Babakan Ciparay,Jl. Caringin Gg. Lumbung II,18,30,305,315,620
20219342,SMP NEGERI 22,Negeri,Cibeunying Kidul,Sukamaju,Jl. Wr Supratman No. 24 Bandung,20,34,340,350,690
